Site_code,ubedmean,Secchi_mean,temp_mean
OCCH_BA1S,0.1783,18.1975,27.5052
OCCH_BA2S,0.2378,21.0822,27.5028
OCCH_FL1S,0.2378,21.0822,27.5434
OCDA_BA1D,0.1779,26.4938,27.2310
OCDA_BA1S,0.2238,26.4938,27.3853
OCDA_BA2D,0.1292,25.9449,27.2228
OCDA_BA2S,0.1424,25.9449,27.3705
OCDA_FL1D,0.1953,27.0162,27.2115
OCDA_FL1S,0.2185,27.0162,27.3633
OCDA_FR1D,0.1360,22.7950,27.2213
OCDA_FR1S,0.2711,22.7950,27.3765
OCDA_FR2D,0.2058,27.4535,27.2325
OCDA_FR2S,0.3638,22.5722,27.3849
OCDA_LA1S,0.2389,18.9371,27.3813
OCDA_LA2S,0.1921,18.9371,27.3813
OCLB_BA1S,0.1561,25.9794,27.3030
OCLB_FL1S,0.1095,25.3621,27.3174
OCLB_LA1S,0.1450,25.3621,27.3174
PAOR_FL1D,0.1617,23.5477,27.2910
PAOR_FL1S,0.3406,23.5477,27.4461
PAPE_BA1D,0.0579,NA,27.3490
PAPE_BA1S,0.0544,24.1324,27.4843
PAPE_BA2D,0.0961,24.4793,27.3577
PAPE_BA2S,0.1060,24.4793,27.5070
PAPE_FR1D,0.1945,26.4053,27.3707
PAPE_FR1S,0.2371,25.3433,27.4800
