"Reef","Site","Plot","Colony","Habitat","Depth","Cross_shelf","Taxa","Days_2022c","Area_cm_2021","Area_cm_2022","log_2021","log_2022","log10_2021","log10_2022","Note_2021","Note_2022"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_1","BA_S","Shallow","offshore","Menc",-125,12.11123,12.49039,2.4941331213585,2.52495954862998,1.08318825173813,1.09657599899893,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_2","BA_S","Shallow","offshore","Menc",-125,9.40467,8.82955,2.24120637441811,2.17810405068982,0.973343561216177,0.945938570225711,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_3","BA_S","Shallow","offshore","Menc",-125,8.74872,8.80934,2.16890740395444,2.17581252227236,0.94194451729652,0.944943372078883,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_4","BA_S","Shallow","offshore","Menc",-125,69.15377,58.95642,4.2363325757859,4.07679852690599,1.8398158611708,1.77053110406658,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_5","BA_S","Shallow","offshore","Menc",-125,69.15377,3.15803,4.2363325757859,1.14994841547167,1.8398158611708,0.499416251312735,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_6","BA_S","Shallow","offshore","Menc",-125,12.11123,59.10319,2.4941331213585,4.07928489926672,1.08318825173813,1.7716109218628,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_7","BA_S","Shallow","offshore","Pmas",-125,128.8085,130.0492,4.85832680528158,4.86791284039554,2.10994452281644,2.11410768496977,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_8","BA_S","Shallow","offshore","Acor",-125,91.51862,101.12723,4.51654244884647,4.61637942705146,1.96150946281582,2.00486811154015,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_9","BA_S","Shallow","offshore","Pver",-125,143.98077,158.70493,4.96967974899185,5.06704669195219,2.1583044918135,2.20059041786096,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_10","BA_S","Shallow","offshore","Gspp",-125,63.15092,67.51117,4.14552741717811,4.21229306566942,1.80037968185909,1.82937563457956,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_11","BA_S","Shallow","offshore","Menc",-125,334.40964,354.70187,5.81236670854623,5.87127763382658,2.52427878831979,2.54986347809286,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_12","BA_S","Shallow","offshore","Pmas",-125,11.78294,12.58125,2.46665272263643,2.53220761040596,1.07125366621263,1.09972379223273,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_13","BA_S","Shallow","offshore","Spis",-125,104.16491,113.9823,4.64597531636615,4.73604317318203,2.01772144295653,2.05683741616852,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_14","BA_S","Shallow","offshore","Adgt",-125,129.02504,146.20782,4.86000649405218,4.98502903425732,2.11067400238083,2.16497060170545,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_15","BA_S","Shallow","offshore","Pver",-125,74.46828,94.6265,4.31037326290688,4.54993756367953,1.87197132302377,1.97601277691034,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_16","BA_S","Shallow","offshore","Pver",-125,86.19379,101.46403,4.45659813331117,4.61970435143646,1.93547597735738,2.00631210785329,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_17","BA_S","Shallow","offshore","Pver",-125,121.32821,120.89313,4.79849935280239,4.79490693218487,2.0839617903384,2.08240162188754,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_18","BA_S","Shallow","offshore","Adgt",-125,169.78784,156.78204,5.13454965764973,5.05485656053968,2.22990658337551,2.19529631105483,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_19","BA_S","Shallow","offshore","Pmas",-125,16.64575,20.37013,2.81215492858803,3.01406961215257,1.22130336774281,1.30899380063013,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_20","BA_S","Shallow","offshore","Gspp",-125,16.73003,17.23574,2.81720530818302,2.84698513493339,1.22349671973243,1.23642993416216,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_21","BA_S","Shallow","offshore","Pmas",-125,4.76363,4.89936,1.56100998264987,1.58910458434116,0.67793802166073,0.690139352146527,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_22","BA_S","Shallow","offshore","Pver",-125,132.82254,152.05749,4.88901395155567,5.02425867302194,2.12327178110864,2.18200781734798,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_23","BA_S","Shallow","offshore","Pmas",-125,25.15938,25.90055,3.22523078923927,3.25426420400126,1.40069993463108,1.41330898645302,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_24","BA_S","Shallow","offshore","Menc",-125,413.14674,458.28951,6.02380283251943,6.12750110231575,2.61610433023637,2.66113991659182,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_25","BA_S","Shallow","offshore","Adgt",-125,41.77953,44.42535,3.73240650666352,3.7938102524565,1.62096355006376,1.64763085802984,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_26","BA_S","Shallow","offshore","Pmas",-125,67.81672,76.97755,4.21680877221329,4.3435138209007,1.83133678101346,1.88636408448768,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_27","BA_S","Shallow","offshore","Pmas",-125,20.0441,26.80252,2.99793484610918,3.28849591294703,1.30198656077069,1.42817562875429,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_28","BA_S","Shallow","offshore","Pmas",-125,12.15128,11.45709,2.4974345140319,2.43860875234018,1.08462202835878,1.05907432466231,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_29","BA_S","Shallow","offshore","Pmas",-125,135.65156,143.32594,4.91008953922311,4.96512133729378,2.13242479253548,2.15632479876678,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_30","BA_S","Shallow","offshore","Pmas",-125,42.75114,48.39749,3.75539586169389,3.8794479528737,1.63094770009596,1.68482283876392,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_31","BA_S","Shallow","offshore","Pmas",-125,65.18517,77.91827,4.1772319890733,4.35566045682908,1.81414880248428,1.89163930144507,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_32","BA_S","Shallow","offshore","Menc",-125,155.94653,123.30027,5.04951319208488,4.81462259994892,2.19297571562014,2.0909640276045,NA,NA
