"Reef","Site","Plot","Colony","Habitat","Depth","Cross_shelf","Taxa","Days_2022c","Bleaching_scores","Area_cm_2022","Area_cm_2023","log_2022","log_2023","log10_2022","log10_2023","Note_2022","Note_2023"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_4","BA_S","Shallow","offshore","Menc",0,1,59.10319,70.44888,4.07928489926672,4.25488734041846,1.7716109218628,1.84787409306374,NA,"o"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_5","BA_S","Shallow","offshore","Pmas",0,1,130.0492,140.83881,4.86791284039554,4.94761604494698,2.11410768496977,2.14872234689647,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_6","BA_S","Shallow","offshore","Lobo_sp",0,1,58.78704,76.13595,4.07392142244787,4.33252055805027,1.76928159347656,1.88158977109363,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_8","BA_S","Shallow","offshore","Acor",0,1,101.12723,153.04257,4.61637942705146,5.03071611798629,2.00486811154015,2.1848122500632,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_10","BA_S","Shallow","offshore","Pver",0,1,158.70493,179.67364,5.06704669195219,5.19114209410365,2.20059041786096,2.25448436624491,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_13","BA_S","Shallow","offshore","Gspp",0,1,67.51117,71.74235,4.21229306566942,4.27308122874633,1.82937563457956,1.8557755983689,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_15","BA_S","Shallow","offshore","Menc",0,1,354.70187,414.36356,5.87127763382658,6.02674375271589,2.54986347809286,2.61738155564941,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_16","BA_S","Shallow","offshore","Spis",0,4,113.9823,41.11821,4.73604317318203,3.716451089071,2.05683741616852,1.61403420024687,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_17","BA_S","Shallow","offshore","Pver",0,1,101.46403,124.08072,4.61970435143646,4.82093232155938,2.00631210785329,2.09370430488227,NA,"o"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_18","BA_S","Shallow","offshore","Pver",0,1,120.89313,73.47679,4.79490693218487,4.29696957403613,2.08240162188754,1.86615017491006,NA,"o"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_19","BA_S","Shallow","offshore","Adgt",0,1,156.78204,165.98118,5.05485656053968,5.11187440843531,2.19529631105483,2.2200588477659,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_21","BA_S","Shallow","offshore","Pmas",0,1,20.37013,21.7365,3.01406961215257,3.07899287517195,1.30899380063013,1.33718961550661,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_22","BA_S","Shallow","offshore","Gspp",0,1,17.23574,21.11043,2.84698513493339,3.04976723114591,1.23642993416216,1.32449707957603,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_23","BA_S","Shallow","offshore","Pmas",0,1,25.90055,24.03461,3.25426420400126,3.17949487487768,1.41330898645302,1.38083707939905,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_24","BA_S","Shallow","offshore","Adgt",0,4,44.42535,57.90765,3.7938102524565,4.05884950020363,1.64763085802984,1.76273594081421,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_25","BA_S","Shallow","offshore","Pmas",0,1,76.97755,82.88337,4.3435138209007,4.41743443888144,1.88636408448768,1.9184674009756,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_26","BA_S","Shallow","offshore","Pmas",0,2,26.80252,30.27329,3.28849591294703,3.4102658055979,1.42817562875429,1.48105962119451,"pm","pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_27","BA_S","Shallow","offshore","Menc",0,1,165.78256,227.8744,5.1106770501964,5.42879459997287,2.21953884168989,2.35769553815439,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_29","BA_S","Shallow","offshore","Pmas",0,1,11.45709,13.7427,2.43860875234018,2.62050777403954,1.05907432466231,1.13807206604995,"pm",NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_30","BA_S","Shallow","offshore","Pmas",0,1,143.32594,138.00086,4.96512133729378,4.92725991702184,2.15632479876678,2.13988179286566,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_31","BA_S","Shallow","offshore","Pmas",0,1,48.39749,49.72046,3.8794479528737,3.90641651840985,1.68482283876392,1.69653513796111,"pm","pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_32","BA_S","Shallow","offshore","Pmas",0,1,77.91827,81.5629,4.35566045682908,4.40137450171955,1.89163930144507,1.91149265888647,NA,NA
