"Reef","Site","Plot","Colony","Habitat","Depth","Cross_shelf","Taxa","Days_2022c","Survival_1","Area_2021","Area_cm_2021","log_2021","log10_2021","Note_2021","Note_2022"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_1","BA_S","Shallow","offshore","Menc",-125,1,0.001211123,12.11123,2.4941331213585,1.08318825173813,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_2","BA_S","Shallow","offshore","Menc",-125,1,0.000940467,9.40467,2.24120637441811,0.973343561216177,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_3","BA_S","Shallow","offshore","Menc",-125,1,0.000874872,8.74872,2.16890740395444,0.94194451729652,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_4","BA_S","Shallow","offshore","Menc",-125,1,0.006915377,69.15377,4.2363325757859,1.8398158611708,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_5","BA_S","Shallow","offshore","Menc",-125,1,0.006915377,69.15377,4.2363325757859,1.8398158611708,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_6","BA_S","Shallow","offshore","Menc",-125,1,0.001211123,12.11123,2.4941331213585,1.08318825173813,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_7","BA_S","Shallow","offshore","Pmas",-125,1,0.01288085,128.8085,4.85832680528158,2.10994452281644,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_8","BA_S","Shallow","offshore","Acor",-125,1,0.009151862,91.51862,4.51654244884647,1.96150946281582,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_9","BA_S","Shallow","offshore","Pver",-125,1,0.014398077,143.98077,4.96967974899185,2.1583044918135,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_10","BA_S","Shallow","offshore","Gspp",-125,1,0.006315092,63.15092,4.14552741717811,1.80037968185909,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_11","BA_S","Shallow","offshore","Menc",-125,1,0.033440964,334.40964,5.81236670854623,2.52427878831979,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_12","BA_S","Shallow","offshore","Pmas",-125,1,0.001178294,11.78294,2.46665272263643,1.07125366621263,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_13","BA_S","Shallow","offshore","Spis",-125,1,0.010416491,104.16491,4.64597531636615,2.01772144295653,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_14","BA_S","Shallow","offshore","Adgt",-125,1,0.012902504,129.02504,4.86000649405218,2.11067400238083,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_15","BA_S","Shallow","offshore","Pver",-125,1,0.007446828,74.46828,4.31037326290688,1.87197132302377,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_16","BA_S","Shallow","offshore","Pver",-125,1,0.008619379,86.19379,4.45659813331117,1.93547597735738,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_17","BA_S","Shallow","offshore","Pver",-125,1,0.012132821,121.32821,4.79849935280239,2.0839617903384,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_18","BA_S","Shallow","offshore","Adgt",-125,1,0.016978784,169.78784,5.13454965764973,2.22990658337551,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_19","BA_S","Shallow","offshore","Pmas",-125,1,0.001664575,16.64575,2.81215492858803,1.22130336774281,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_20","BA_S","Shallow","offshore","Gspp",-125,1,0.001673003,16.73003,2.81720530818302,1.22349671973243,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_21","BA_S","Shallow","offshore","Pmas",-125,1,0.000476363,4.76363,1.56100998264987,0.67793802166073,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_22","BA_S","Shallow","offshore","Pver",-125,1,0.013282254,132.82254,4.88901395155567,2.12327178110864,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_23","BA_S","Shallow","offshore","Pmas",-125,1,0.002515938,25.15938,3.22523078923927,1.40069993463108,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_24","BA_S","Shallow","offshore","Menc",-125,1,0.041314674,413.14674,6.02380283251943,2.61610433023637,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_25","BA_S","Shallow","offshore","Adgt",-125,1,0.004177953,41.77953,3.73240650666352,1.62096355006376,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_26","BA_S","Shallow","offshore","Pmas",-125,1,0.006781672,67.81672,4.21680877221329,1.83133678101346,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_27","BA_S","Shallow","offshore","Pmas",-125,1,0.00200441,20.0441,2.99793484610918,1.30198656077069,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_28","BA_S","Shallow","offshore","Pmas",-125,1,0.001215128,12.15128,2.4974345140319,1.08462202835878,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_29","BA_S","Shallow","offshore","Pmas",-125,1,0.013565156,135.65156,4.91008953922311,2.13242479253548,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_30","BA_S","Shallow","offshore","Pmas",-125,1,0.004275114,42.75114,3.75539586169389,1.63094770009596,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_31","BA_S","Shallow","offshore","Pmas",-125,1,0.006518517,65.18517,4.1772319890733,1.81414880248428,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_32","BA_S","Shallow","offshore","Menc",-125,1,0.015594653,155.94653,5.04951319208488,2.19297571562014,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_33","BA_S","Shallow","offshore","Pver",-125,1,0.004520709,45.20709,3.81125393294427,1.65520655220976,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_34","BA_S","Shallow","offshore","Menc",-125,1,0.039246758,392.46758,5.97245393508489,2.59380378742873,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_35","BA_S","Shallow","offshore","Acor",-125,1,0.005836241,58.36241,4.06667201820977,1.76613321721886,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_36","BA_S","Shallow","offshore","Acor",-125,1,0.015128687,151.28687,5.01917783579926,2.17980123777872,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_37","BA_S","Shallow","offshore","Acor",-125,1,0.016584174,165.84174,5.111033960113,2.2196938456972,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_38","BA_S","Shallow","offshore","Gspp",-125,1,0.002268451,22.68451,3.12168231270631,1.35572940266333,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_39","BA_S","Shallow","offshore","Adgt",-125,1,0.008233103,82.33103,4.41074807186004,1.91556354867422,NA,NA
