"Reef","Site","Plot","Colony","Habitat","Depth","Cross_shelf","Taxa","Days_2022c","Bleaching_scores","Survival_2","Area_2022","Area_cm_2022","log_2022","log10_2022","Note_2022","Note_2023"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_1","BA_S","Shallow","offshore","Menc",0,1,1,0.004324376,43.24376,3.76685294551225,1.63592344837698,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_2","BA_S","Shallow","offshore","Menc",0,1,1,0.001466318,14.66318,2.68533958971582,1.16622816584992,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_3","BA_S","Shallow","offshore","Menc",0,4,1,0.008067587,80.67587,4.3904395218898,1.90674365748669,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_4","BA_S","Shallow","offshore","Menc",0,1,1,0.003886155,38.86155,3.66000532992687,1.58952011852373,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_5","BA_S","Shallow","offshore","Menc",0,1,1,0.000882955,8.82955,2.17810405068982,0.945938570225711,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_6","BA_S","Shallow","offshore","Menc",0,1,1,0.000880934,8.80934,2.17581252227236,0.944943372078883,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_7","BA_S","Shallow","offshore","Menc",0,1,1,0.005895642,58.95642,4.07679852690599,1.77053110406658,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_8","BA_S","Shallow","offshore","Menc",0,3,1,0.000315803,3.15803,1.14994841547167,0.499416251312735,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_9","BA_S","Shallow","offshore","Menc",0,6,0,0.006733567,67.33567,4.20969011110126,1.82824518577396,NA,"d"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_10","BA_S","Shallow","offshore","Menc",0,1,1,0.006054021,60.54021,4.10330777236853,1.78204392309038,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_11","BA_S","Shallow","offshore","Menc",0,1,1,0.003418453,34.18453,3.53177320255104,1.53382961320169,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_12","BA_S","Shallow","offshore","Menc",0,1,1,0.005910319,59.10319,4.07928489926672,1.7716109218628,NA,"o"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_13","BA_S","Shallow","offshore","Pmas",0,1,1,0.01300492,130.0492,4.86791284039554,2.11410768496977,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_14","BA_S","Shallow","offshore","Lobo_sp",0,1,1,0.005878704,58.78704,4.07392142244787,1.76928159347656,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_15","BA_S","Shallow","offshore","Acor",0,1,1,0.010112723,101.12723,4.61637942705146,2.00486811154015,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_16","BA_S","Shallow","offshore","Pver",0,1,1,0.015870493,158.70493,5.06704669195219,2.20059041786096,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_17","BA_S","Shallow","offshore","Gspp",0,1,1,0.006751117,67.51117,4.21229306566942,1.82937563457956,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_18","BA_S","Shallow","offshore","Menc",0,1,1,0.035470187,354.70187,5.87127763382658,2.54986347809286,NA,NA
